CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE326340,08/04/2021 01:45:00 PM,001XX E 111TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,531,9,14,1178968,1831385,41.69261082,-87.620388196,"(41.69261082, -87.620388196)"
JE325896,08/04/2021 01:50:00 PM,006XX S LOTUS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1522,29,08B,1139982,1896657,41.872525519,-87.761535629,"(41.872525519, -87.761535629)"
JE325973,08/04/2021 01:55:00 PM,040XX W 115TH ST,051B,ASSAULT,AGGRAVATED - OTHER FIREARM,APARTMENT,Y,Y,2211,19,04A,1151290,1828011,41.683935861,-87.721810757,"(41.683935861, -87.721810757)"
JE326249,08/04/2021 02:00:00 PM,053XX S CALUMET AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,N,Y,231,3,04B,1179390,1869658,41.797626791,-87.617677805,"(41.797626791, -87.617677805)"
JE331195,08/04/2021 02:00:00 PM,035XX N WILTON AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,1924,44,06,1169310,1923623,41.945935211,-87.653074227,"(41.945935211, -87.653074227)"
JE326097,08/04/2021 02:00:00 PM,039XX W ROOSEVELT RD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,GAS STATION,N,N,1132,24,26,1150123,1894416,41.866184544,-87.724361483,"(41.866184544, -87.724361483)"
JE325994,08/04/2021 02:00:00 PM,0000X E 118TH PL,0460,BATTERY,SIMPLE,RESIDENCE,N,N,532,9,08B,1178589,1826403,41.678948079,-87.621926395,"(41.678948079, -87.621926395)"
JE326400,08/04/2021 02:00:00 PM,016XX N LAKE SHORE DR,0810,THEFT,OVER $500,STREET,N,N,1814,43,06,1176665,1911098,41.911402836,-87.626419612,"(41.911402836, -87.626419612)"
JE326029,08/04/2021 02:00:00 PM,049XX W FULLERTON AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,N,N,2522,36,11,1143166,1915509,41.924198765,-87.74937447,"(41.924198765, -87.74937447)"
JE326763,08/04/2021 02:00:00 PM,003XX N LA SALLE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1831,42,14,,,,,
JE331336,08/04/2021 02:00:00 PM,064XX S WOOD ST,0810,THEFT,OVER $500,APARTMENT,N,N,725,15,06,1165446,1862011,41.776949645,-87.669029194,"(41.776949645, -87.669029194)"
JE326102,08/04/2021 02:00:00 PM,029XX S DEARBORN ST,0560,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,N,N,133,3,08A,1176406,1885545,41.841289747,-87.628142362,"(41.841289747, -87.628142362)"
JE325998,08/04/2021 02:00:00 PM,064XX N CLARK ST,0584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,SIDEWALK,N,N,2432,40,26,1164254,1943116,41.999533347,-87.671104423,"(41.999533347, -87.671104423)"
